val1,val2,val3,last_matrix,first_move_by_Q_learning,Q_table_val
-6,18,-4,2,0,9800.897604194965
-11,12,1,2,0,0.0
-9,6,-1,2,0,9800.797629385903
-5,-21,5,2,3,9800.897604194965
-5,36,-11,1,2,8713.843051746126
0,-3,-8,4,0,9800.897604194965
-7,-19,1,2,3,9761.31560988418
6,6,2,4,1,9840.55888139888
-7,29,-5,1,0,9761.31560988418
6,3,4,1,1,9800.897604194965
-4,-12,6,3,0,9800.897604194965
7,1,1,1,1,9840.55888139888
-8,15,-4,4,0,9761.315606701282
2,-5,8,4,1,-9.99
2,20,6,3,3,9761.263651554504
-2,-42,12,1,3,9079.954631690773
0,-4,-2,4,0,9880.299600299879
4,0,0,1,1,9920.119920019999
4,14,6,2,1,9800.897604194965
1,-11,9,4,0,-9.0
8,-36,-6,3,3,0.0
0,17,-2,3,3,8559.775689492986
0,-12,-6,4,0,9800.897604194965
1,22,9,2,3,9362.518896391319
-4,9,-2,3,0,9840.55888139888
-2,-23,10,1,3,9252.019833780543
2,20,4,3,0,9557.888544655334
6,-9,-2,4,1,9840.55888139888
-5,-12,3,3,0,9840.55888139888
2,-1,2,1,1,9880.299600299879
2,8,6,3,3,9840.55888139888
4,63,10,3,0,4003.117917105585
0,2,8,3,0,9800.897604194965
-3,-16,-3,3,3,8667.254524647375
-1,14,-3,4,1,9761.315609808595
4,20,4,3,0,9800.897604194965
0,-1,-6,1,0,9840.55888139888
11,9,1,1,1,9192.55330708037
4,4,-2,1,3,9840.55888139888
-3,39,-11,4,0,-9.0
12,19,4,4,2,0.0
6,-1,0,3,1,9840.55888139888
-5,-14,-1,2,3,9761.31560988418
-8,-28,8,2,3,-9.0
4,-32,-10,3,2,0.0
-4,14,10,3,0,8311.575266684924
1,8,3,4,0,9840.55888139888
1,-5,-3,4,0,9880.299600299879
6,22,0,4,3,9721.512425873269
-6,-13,-4,3,3,0.0
-7,-52,15,3,3,814.4614032822157
-6,-6,4,3,0,9800.897604194965
-4,-5,8,2,3,9761.315608215851
-6,8,-6,3,2,9758.721580162319
1,15,-1,2,3,9721.435004146908
-3,5,3,4,0,9800.897604194965
11,20,-3,1,3,9549.12024472397
-1,-11,9,1,1,9757.930017914827
-7,-11,3,2,0,9800.897604194965
4,28,10,3,2,0.0
2,15,-2,3,3,9718.654837625616
3,-5,3,1,1,9800.897604194965
3,12,7,1,1,9800.897604194965
-2,-10,14,3,1,0.0
-2,4,4,3,0,9840.55888139888
-2,-1,4,2,0,9880.299600299879
-7,-17,5,4,0,9761.315607508726
3,5,-5,3,1,9800.897604029591
-4,-12,-4,2,0,9721.81273998002
1,-24,9,1,3,9379.571302975262
-9,-15,5,2,0,9721.81273998002
2,-2,0,3,2,9920.119920019999
-3,-33,9,1,2,9438.832659509306
8,47,6,3,3,9714.212807808513
7,-12,-1,1,1,9800.897604194965
11,15,3,1,2,0.0
-1,-5,-1,2,3,9840.55888139888
-3,-18,1,3,1,9721.81273998002
5,21,-1,4,1,8407.519016477143
5,18,3,1,0,9800.897604194965
-7,-16,-1,4,3,8608.733845802288
6,-15,-8,1,1,9367.784948158278
1,-21,1,1,2,9643.043741029012
-1,6,-1,1,1,9840.55888139888
-8,-15,4,3,3,9758.617237832257
-9,47,-3,2,2,0.0
-3,18,-1,1,2,9713.487750609738
4,-23,-6,1,2,9800.897604194965
-1,-9,7,3,1,9800.897604194965
5,14,-5,1,1,9671.488600481856
7,10,1,1,1,9800.897604194965
3,6,-5,2,1,9761.31560988418
0,2,-2,4,1,9920.119920019999
3,-7,1,4,0,9800.897604194965
-7,19,-3,4,2,9800.897604194963
3,-8,5,1,1,9761.31560988418
-4,-12,2,2,3,9840.55888139888
-1,-9,5,1,1,9840.55888139888
5,-6,-1,3,0,9840.55888139888
2,-1,-8,1,1,9800.838856419557
-9,25,-1,1,2,9721.751163959689
-5,4,-7,2,0,9518.276946923686
0,-4,-2,3,0,9880.299600299879
-11,4,1,4,3,8464.441714952507
-8,0,-4,3,2,9184.04693244175
0,2,0,1,0,9880.299600299879
13,-44,-5,1,3,9420.807910360949
0,5,0,1,0,9800.897604194965
-1,16,-3,4,1,9761.254986249565
-2,-3,4,2,0,9880.299600299879
3,8,-3,1,0,9761.315609883739
-1,-11,-1,2,3,9761.13777566457
1,-5,7,4,1,9800.897604194917
-3,-1,1,3,0,9920.119920019999
2,32,10,3,1,4858.80015046377
8,-15,4,4,2,8630.04243257151
7,-37,-3,3,1,6998.073566040385
-4,12,2,1,0,9453.1006088393
12,-15,-2,3,1,9720.872590947169
-5,2,-3,2,0,9840.55888139888
7,22,7,2,3,7116.6568209887555
5,-20,-3,3,2,9800.897604194965
-5,10,3,2,2,9753.807563495833
1,-1,1,4,1,9920.119920019999
0,-21,0,4,2,8159.092982459738
0,6,-6,3,1,9840.55888139888
-1,11,5,4,0,9761.315608895762
8,-23,-2,4,2,9745.628002910998
7,-13,-3,3,1,9800.89760419493
-6,21,-10,4,2,9680.987523455162
-8,10,-4,1,0,9761.31560988418
-9,-6,1,2,0,9550.777003754814
-2,11,0,1,2,9760.685127286715
-8,26,-2,4,0,9623.851780132114
4,0,2,3,1,9880.299600299879
5,-35,-5,4,0,8392.427296431899
-3,-5,1,3,3,9880.299600299879
2,-11,-2,1,0,9800.897604194559
9,-40,-5,1,1,9721.81273998002
-1,-11,-1,3,3,9761.13777566457
3,-4,5,3,1,9800.897373304202
10,56,10,3,1,0.0
9,-13,1,1,1,8749.63135352409
0,0,-6,3,2,9880.299600299879
-9,34,-1,2,2,0.0
3,-25,-3,2,2,6479.669622166455
-1,-1,1,3,3,9960.02
-5,-9,3,1,0,9840.55888139888
2,5,6,4,1,9840.55888139888
0,-1,-4,3,0,9880.299600299879
-1,-10,-3,4,3,9761.11596901029
5,13,7,4,1,9761.31560988418
1,-27,-3,4,3,9147.380043329982
11,19,3,1,1,7199.026302279666
-5,10,1,1,2,9800.897604194965
-2,38,-8,1,1,9327.274378483591
-3,-7,1,2,1,9840.55888139888
-7,-44,9,3,3,9355.306190318255
0,4,12,3,3,9721.81273998002
-1,12,-9,2,1,9761.31560988418
3,-23,-13,4,1,8521.71513768945
2,8,-2,3,3,9800.897604194965
-1,21,-5,1,1,9721.811038663096
