val1,val2,val3,last_matrix,num_moves_Q_learning_needs,min_a_b_sqrt_c
8,-23,-2,4,11,2.0
7,-13,-3,3,9,3.0
-6,21,-10,4,15,4.58257569495584
-8,10,-4,1,11,3.1622776601683795
-9,-6,1,2,9,1.0
-2,11,0,1,11,0.0
-8,26,-2,4,13,2.0
4,0,2,3,5,0.0
5,-35,-5,4,13,5.0
-3,-5,1,3,5,1.0
2,-11,-2,1,9,2.0
9,-40,-5,1,15,5.0
-1,-11,-1,3,13,1.0
3,-4,5,3,9,2.0
10,56,10,3,23,7.483314773547883
9,-13,1,1,13,1.0
0,0,-6,3,5,0.0
-9,34,-1,2,17,1.0
3,-25,-3,2,15,3.0
-1,-1,1,3,1,1.0
-5,-9,3,1,7,3.0
2,5,6,4,7,2.0
0,-1,-4,3,5,0.0
-1,-10,-3,4,11,1.0
5,13,7,4,11,3.605551275463989
1,-27,-3,4,19,1.0
11,19,3,1,19,3.0
-5,10,1,1,9,1.0
-2,38,-8,1,17,2.0
-3,-7,1,2,7,1.0
-7,-44,9,3,15,6.6332495807108
0,4,12,3,13,0.0
-1,12,-9,2,11,1.0
3,-23,-13,4,15,3.0
2,8,-2,3,9,2.0
-1,21,-5,1,13,1.0
-4,10,-6,2,9,3.1622776601683795
0,11,-12,4,13,0.0
6,-15,-2,1,9,2.0
-4,19,-4,1,9,4.0
1,-9,-3,1,7,1.0
0,2,4,3,5,0.0
2,-4,-4,1,5,2.0
-8,3,0,4,9,0.0
2,10,12,4,13,2.0
10,-45,-6,1,19,6.0
-4,12,-10,2,13,3.4641016151377544
4,-2,-2,4,5,1.4142135623730951
-5,-7,1,2,7,1.0
2,2,-4,4,7,1.4142135623730951
-11,-3,3,2,15,1.7320508075688772
-9,-21,-3,2,19,3.0
-2,-4,-4,2,7,2.0
3,-18,-3,2,11,3.0
3,7,5,3,7,2.6457513110645907
3,-1,3,4,7,1.0
0,1,4,2,5,0.0
6,-10,-2,1,7,2.0
0,6,-4,4,7,0.0
-4,-32,8,1,11,4.0
-2,-5,6,3,7,2.0
6,-8,-4,4,9,2.8284271247461903
-6,-44,10,3,15,6.0
5,10,1,3,7,1.0
7,-5,5,4,13,2.23606797749979
-9,-22,1,3,13,1.0
4,7,2,1,5,2.0
3,-2,-1,3,3,1.0
-6,27,-4,4,11,4.0
4,-8,-6,4,9,2.8284271247461903
0,4,0,3,7,0.0
-4,5,-2,2,5,2.0
-1,-4,3,4,5,1.0
-1,11,1,4,11,1.0
6,10,4,2,9,3.1622776601683795
-6,2,-4,2,9,1.4142135623730951
-1,2,-7,2,7,1.0
-1,7,1,3,9,1.0
7,-26,-7,4,13,5.0990195135927845
-10,-12,-2,4,17,2.0
